startTime, latency, requestType, statusCode
1638138562250, 352, POST, 200
1638138562604, 693, POST, 200
1638138563297, 93, POST, 200
1638138563395, 89, POST, 200
1638138563487, 92, POST, 200
1638138563582, 90, POST, 200
1638138563675, 93, POST, 200
1638138563771, 89, POST, 200
1638138563863, 89, POST, 200
1638138563960, 91, POST, 200
1638138564055, 93, POST, 200
1638138564152, 88, POST, 200
1638138564244, 91, POST, 200
1638138564338, 93, POST, 200
1638138564434, 89, POST, 200
1638138564532, 91, POST, 200
1638138564626, 87, POST, 200
1638138564719, 88, POST, 200
1638138564810, 92, POST, 200
1638138564903, 88, POST, 200
1638138564998, 191, POST, 200
1638138565194, 89, POST, 200
1638138565288, 87, POST, 200
1638138565378, 91, POST, 200
1638138565473, 89, POST, 200
1638138565564, 87, POST, 200
1638138565658, 87, POST, 200
1638138565747, 87, POST, 200
1638138565835, 90, POST, 200
1638138565926, 89, POST, 200
1638138566018, 89, POST, 200
1638138566112, 93, POST, 200
1638138564998, 184, POST, 200
1638138565183, 92, POST, 200
1638138565277, 91, POST, 200
1638138565377, 87, POST, 200
1638138565467, 88, POST, 200
1638138565559, 91, POST, 200
1638138565652, 88, POST, 200
1638138565743, 87, POST, 200
1638138565831, 89, POST, 200
1638138565927, 88, POST, 200
1638138566018, 89, POST, 200
1638138566112, 93, POST, 200
1638138565000, 188, POST, 200
1638138565190, 90, POST, 200
1638138565284, 91, POST, 200
1638138565378, 93, POST, 200
1638138565473, 85, POST, 200
1638138565566, 87, POST, 200
1638138565655, 92, POST, 200
1638138565753, 92, POST, 200
1638138565846, 89, POST, 200
1638138565937, 87, POST, 200
1638138566031, 88, POST, 200
1638138566121, 87, POST, 200
1638138565001, 187, POST, 200
1638138565193, 91, POST, 200
1638138565287, 88, POST, 200
1638138565380, 89, POST, 200
1638138565472, 87, POST, 200
1638138565563, 88, POST, 200
1638138565657, 88, POST, 200
1638138565753, 92, POST, 200
1638138565846, 89, POST, 200
1638138565936, 89, POST, 200
1638138566030, 90, POST, 200
1638138566122, 94, POST, 200
1638138564998, 190, POST, 200
1638138565196, 86, POST, 200
1638138565285, 89, POST, 200
1638138565381, 90, POST, 200
1638138565475, 87, POST, 200
1638138565564, 86, POST, 200
1638138565660, 88, POST, 200
1638138565753, 92, POST, 200
1638138565846, 90, POST, 200
1638138565938, 87, POST, 200
1638138566029, 90, POST, 200
1638138566123, 92, POST, 200
1638138566220, 180, POST, 200
1638138566401, 87, POST, 200
1638138566491, 90, POST, 200
1638138566584, 86, POST, 200
1638138566674, 86, POST, 200
1638138566764, 88, POST, 200
1638138566855, 88, POST, 200
1638138566946, 90, POST, 200
1638138567039, 88, POST, 200
1638138567129, 87, POST, 200
