startTime, latency, requestType, statusCode
1637970329981, 5, POST, 200
1637970330022, 4, POST, 200
1637970330036, 3, POST, 200
1637970330042, 19, POST, 200
1637970330105, 16, POST, 200
1637970330161, 34, POST, 200
1637970330266, 4, POST, 200
1637970330348, 4, POST, 200
1637970330390, 3, POST, 200
1637970330490, 3, POST, 200
1637970330608, 5, POST, 200
1637970330714, 7, POST, 200
1637970330824, 4, POST, 200
1637970330934, 3, POST, 200
1637970331039, 3, POST, 200
1637970331145, 3, POST, 200
1637970331251, 3, POST, 200
1637970331357, 4, POST, 200
1637970331464, 3, POST, 200
1637970331569, 4, POST, 200
1637970331678, 3, POST, 200
1637970331782, 3, POST, 200
1637970331866, 11, POST, 200
1637970331932, 2, POST, 200
1637970332038, 2, POST, 200
1637970332145, 3, POST, 200
1637970332254, 4, POST, 200
1637970332362, 4, POST, 200
1637970332471, 4, POST, 200
1637970332580, 3, POST, 200
1637970332688, 4, POST, 200
1637970332799, 5, POST, 200
1637970332910, 4, POST, 200
1637970333017, 4, POST, 200
1637970333125, 4, POST, 200
1637970333233, 6, POST, 200
1637970333343, 4, POST, 200
1637970333444, 2, POST, 200
1637970333536, 1, POST, 200
1637970333598, 1, POST, 200
1637970333703, 10, POST, 200
1637970333824, 10, POST, 200
1637970333939, 9, POST, 200
1637970334053, 12, POST, 200
1637970334169, 12, POST, 200
1637970334283, 4, POST, 200
1637970334389, 97, POST, 200
1637970334588, 108, POST, 200
1637970334800, 2, POST, 200
1637970334906, 43, POST, 200
1637970335051, 2, POST, 200
1637970335154, 86, POST, 200
1637970335341, 36, POST, 200
1637970335377, 1, POST, 200
1637970335485, 99, POST, 200
1637970335685, 260, POST, 200
1637970336046, 92, POST, 200
1637970336241, 7, POST, 200
1637970336350, 4, POST, 200
1637970336456, 93, POST, 200
1637970336650, 2, POST, 200
1637970336755, 2, POST, 200
1637970329991, 32, POST, 200
1637970330036, 3, POST, 200
1637970330042, 13, POST, 200
1637970330104, 15, POST, 200
1637970330177, 41, POST, 200
