startTime, latency, requestType, statusCode
1637896477455, 186, POST, 200
1637896477641, 81, POST, 200
1637896477723, 84, POST, 200
1637896477807, 88, POST, 200
1637896477895, 86, POST, 200
1637896477982, 90, POST, 200
1637896478072, 86, POST, 200
1637896478159, 90, POST, 200
1637896478249, 88, POST, 200
1637896478337, 85, POST, 200
1637896478427, 87, POST, 200
1637896478514, 87, POST, 200
1637896478602, 87, POST, 200
1637896478689, 86, POST, 200
1637896478779, 87, POST, 200
1637896478869, 83, POST, 200
1637896478954, 81, POST, 200
1637896479038, 91, POST, 200
1637896479132, 89, POST, 200
1637896479221, 86, POST, 200
1637896479307, 88, POST, 200
1637896479395, 93, POST, 200
1637896479488, 85, POST, 200
1637896479573, 87, POST, 200
1637896479662, 78, POST, 200
1637896479742, 83, POST, 200
1637896479825, 85, POST, 200
1637896479911, 86, POST, 200
1637896479997, 84, POST, 200
1637896480083, 89, POST, 200
1637896480172, 88, POST, 200
1637896480261, 89, POST, 200
1637896480350, 87, POST, 200
1637896480438, 87, POST, 200
1637896480526, 84, POST, 200
1637896480610, 88, POST, 200
1637896480701, 86, POST, 200
1637896480789, 88, POST, 200
1637896480877, 89, POST, 200
1637896480966, 87, POST, 200
1637896481057, 87, POST, 200
1637896481146, 81, POST, 200
1637896481230, 83, POST, 200
1637896481313, 87, POST, 200
1637896481401, 83, POST, 200
1637896481486, 87, POST, 200
1637896481576, 85, POST, 200
1637896481662, 94, POST, 200
1637896481756, 86, POST, 200
1637896481842, 89, POST, 200
1637896481931, 89, POST, 200
1637896482024, 89, POST, 200
1637896482113, 86, POST, 200
1637896482199, 90, POST, 200
1637896482289, 81, POST, 200
1637896482373, 88, POST, 200
1637896482463, 83, POST, 200
1637896482546, 84, POST, 200
1637896482630, 92, POST, 200
1637896482722, 87, POST, 200
1637896482811, 92, POST, 200
1637896482904, 85, POST, 200
1637896482990, 82, POST, 200
1637896483073, 79, POST, 200
1637896483154, 85, POST, 200
1637896483239, 87, POST, 200
1637896483326, 86, POST, 200
1637896483413, 85, POST, 200
1637896483499, 83, POST, 200
1637896483587, 87, POST, 200
1637896483677, 89, POST, 200
1637896483769, 90, POST, 200
1637896483859, 90, POST, 200
1637896483953, 92, POST, 200
1637896484048, 93, POST, 200
1637896484141, 92, POST, 200
1637896484235, 87, POST, 200
1637896484322, 86, POST, 200
1637896477476, 165, POST, 200
1637896477642, 86, POST, 200
1637896477729, 85, POST, 200
1637896477814, 91, POST, 200
1637896477905, 86, POST, 200
1637896477991, 88, POST, 200
1637896478079, 83, POST, 200
1637896478163, 82, POST, 200
1637896478245, 85, POST, 200
1637896478338, 89, POST, 200
1637896478428, 89, POST, 200
1637896478517, 87, POST, 200
1637896478607, 88, POST, 200
1637896478696, 86, POST, 200
1637896478784, 89, POST, 200
1637896478873, 93, POST, 200
1637896478967, 83, POST, 200
1637896479052, 84, POST, 200
1637896479136, 89, POST, 200
1637896479225, 90, POST, 200
1637896479318, 90, POST, 200
1637896479409, 88, POST, 200
