startTime, latency, requestType, statusCode
1637964965965, 7, POST, 200
1637964965976, 39, POST, 200
1637964966023, 4, POST, 200
1637964966030, 5, POST, 200
1637964966093, 4, POST, 200
1637964966120, 4, POST, 200
1637964966138, 6, POST, 200
1637964966175, 4, POST, 200
1637964966181, 3, POST, 200
1637964966187, 3, POST, 200
1637964966193, 4, POST, 200
1637964966220, 6, POST, 200
1637964966229, 3, POST, 200
1637964966239, 4, POST, 200
1637964966276, 4, POST, 200
1637964966282, 3, POST, 200
1637964966288, 3, POST, 200
1637964966293, 3, POST, 200
1637964966325, 4, POST, 200
1637964966338, 3, POST, 200
1637964966370, 4, POST, 200
1637964966377, 3, POST, 200
1637964966383, 2, POST, 200
1637964966388, 3, POST, 200
1637964966394, 3, POST, 200
1637964966423, 3, POST, 200
1637964966428, 3, POST, 200
1637964966434, 4, POST, 200
1637964966439, 3, POST, 200
1637964966444, 8, POST, 200
1637964966470, 2, POST, 200
1637964966474, 3, POST, 200
1637964966480, 3, POST, 200
1637964966486, 2, POST, 200
1637964966491, 3, POST, 200
1637964966521, 3, POST, 200
1637964966529, 2, POST, 200
1637964966535, 3, POST, 200
1637964966569, 3, POST, 200
1637964966574, 3, POST, 200
1637964966578, 3, POST, 200
1637964966583, 2, POST, 200
1637964966620, 3, POST, 200
1637964966625, 6, POST, 200
1637964966633, 4, POST, 200
1637964966639, 3, POST, 200
1637964966644, 2, POST, 200
1637964966670, 3, POST, 200
1637964966676, 3, POST, 200
1637964966681, 2, POST, 200
1637964966687, 4, POST, 200
1637964966719, 5, POST, 200
1637964966728, 2, POST, 200
1637964966732, 3, POST, 200
1637964966738, 3, POST, 200
1637964966745, 4, POST, 200
1637964966770, 3, POST, 200
1637964966777, 2, POST, 200
1637964966791, 3, POST, 200
1637964966821, 5, POST, 200
1637964966828, 4, POST, 200
1637964966835, 4, POST, 200
1637964966841, 4, POST, 200
1637964966870, 6, POST, 200
1637964966878, 3, POST, 200
1637964966884, 2, POST, 200
1637964966888, 3, POST, 200
1637964966893, 3, POST, 200
1637964966919, 3, POST, 200
1637964966925, 2, POST, 200
1637964966929, 2, POST, 200
1637964966973, 3, POST, 200
