phaseID, startTime, latency, requestType, statusCode
1, 1633986109768, 273, POST, 200
1, 1633986110077, 98, POST, 200
1, 1633986110176, 96, POST, 200
1, 1633986110273, 91, POST, 200
1, 1633986110365, 93, POST, 200
1, 1633986110459, 87, POST, 200
1, 1633986110547, 87, POST, 200
1, 1633986110635, 92, POST, 200
1, 1633986110728, 88, POST, 200
1, 1633986110818, 95, POST, 200
1, 1633986110919, 93, POST, 200
1, 1633986111013, 96, POST, 200
1, 1633986111110, 92, POST, 200
1, 1633986111203, 93, POST, 200
1, 1633986111297, 93, POST, 200
1, 1633986111390, 88, POST, 200
1, 1633986111479, 88, POST, 200
1, 1633986111568, 89, POST, 200
1, 1633986111658, 91, POST, 200
1, 1633986111749, 94, POST, 200
1, 1633986111843, 89, POST, 200
1, 1633986111932, 93, POST, 200
1, 1633986112025, 92, POST, 200
1, 1633986112118, 94, POST, 200
1, 1633986112213, 89, POST, 200
1, 1633986112303, 110, POST, 200
1, 1633986112413, 92, POST, 200
1, 1633986112513, 94, POST, 200
1, 1633986112607, 92, POST, 200
1, 1633986112700, 91, POST, 200
1, 1633986112793, 91, POST, 200
1, 1633986112885, 93, POST, 200
1, 1633986109728, 307, POST, 200
1, 1633986110080, 96, POST, 200
1, 1633986110177, 95, POST, 200
1, 1633986110276, 96, POST, 200
1, 1633986110373, 92, POST, 200
1, 1633986110466, 91, POST, 200
1, 1633986110557, 88, POST, 200
1, 1633986110646, 87, POST, 200
1, 1633986110734, 87, POST, 200
1, 1633986110822, 91, POST, 200
1, 1633986110914, 95, POST, 200
1, 1633986111011, 96, POST, 200
1, 1633986111108, 94, POST, 200
1, 1633986111202, 94, POST, 200
1, 1633986111298, 94, POST, 200
1, 1633986111394, 93, POST, 200
1, 1633986111488, 99, POST, 200
1, 1633986111588, 97, POST, 200
1, 1633986111687, 90, POST, 200
1, 1633986111777, 92, POST, 200
1, 1633986111869, 94, POST, 200
1, 1633986111964, 92, POST, 200
1, 1633986112057, 95, POST, 200
1, 1633986112152, 93, POST, 200
1, 1633986112245, 91, POST, 200
1, 1633986112336, 88, POST, 200
1, 1633986112425, 102, POST, 200
1, 1633986112527, 95, POST, 200
1, 1633986112622, 97, POST, 200
1, 1633986112721, 97, POST, 200
1, 1633986112818, 94, POST, 200
1, 1633986112913, 95, POST, 200
1, 1633986109701, 334, POST, 200
1, 1633986110057, 94, POST, 200
1, 1633986110153, 98, POST, 200
1, 1633986110254, 93, POST, 200
1, 1633986110349, 90, POST, 200
1, 1633986110440, 93, POST, 200
1, 1633986110535, 91, POST, 200
1, 1633986110627, 88, POST, 200
1, 1633986110717, 96, POST, 200
1, 1633986110817, 96, POST, 200
1, 1633986110918, 94, POST, 200
1, 1633986111013, 97, POST, 200
1, 1633986111116, 91, POST, 200
1, 1633986111208, 91, POST, 200
1, 1633986111300, 94, POST, 200
1, 1633986111395, 91, POST, 200
1, 1633986111487, 100, POST, 200
1, 1633986111588, 97, POST, 200
1, 1633986111687, 90, POST, 200
1, 1633986111779, 90, POST, 200
1, 1633986111869, 93, POST, 200
1, 1633986111962, 89, POST, 200
1, 1633986112051, 93, POST, 200
